permno,bankruptcy_dt
42113,5/1/1982
84567,5/13/1982
71459,6/1/1982
52572,6/14/1982
64630,7/2/1982
22664,7/29/1982
47416,8/1/1982
39925,8/5/1982
16707,8/26/1982
38440,9/1/1982
52098,9/1/1982
32484,9/2/1982
50665,9/9/1982
64857,10/1/1982
32759,10/5/1982
17646,10/27/1982
80849,11/1/1982
76153,11/1/1982
28600,11/1/1982
59273,11/1/1982
84487,11/22/1982
12240,12/3/1982
48646,12/3/1982
19298,1/1/1983
45779,1/1/1983
37437,1/1/1983
23289,1/1/1983
51773,1/1/1983
11616,1/1/1983
36097,1/1/1983
25241,1/1/1983
10621,1/17/1983
60919,1/21/1983
11309,2/1/1983
28090,2/9/1983
19289,2/9/1983
50411,2/22/1983
78414,2/28/1983
50981,3/7/1983
51554,3/14/1983
59265,3/18/1983
38747,3/18/1983
50630,3/22/1983
63001,3/31/1983
25911,4/1/1983
61357,4/12/1983
64849,4/18/1983
69914,4/20/1983
16257,4/20/1983
83046,4/22/1983
49462,5/2/1983
67206,5/16/1983
36696,6/1/1983
29541,6/4/1983
72224,6/28/1983
92321,6/29/1983
23043,6/29/1983
64937,7/1/1983
15967,7/1/1983
35975,7/8/1983
21769,7/18/1983
63336,7/21/1983
48784,8/1/1983
29284,8/1/1983
51422,8/1/1983
28389,8/1/1983
49446,8/4/1983
65112,8/16/1983
45146,9/6/1983
56355,9/9/1983
62965,9/16/1983
44580,9/23/1983
43780,9/26/1983
54026,10/1/1983
40951,10/4/1983
37672,10/24/1983
25850,10/31/1983
35756,11/1/1983
29293,11/8/1983
64389,12/1/1983
24732,1/1/1984
38245,1/1/1984
59062,1/1/1984
10357,1/1/1984
66502,1/1/1984
46261,1/1/1984
12037,1/1/1984
33487,1/1/1984
55394,1/1/1984
23211,1/1/1984
46595,1/1/1984
10816,1/1/1984
11200,1/1/1984
60661,1/1/1984
34703,1/1/1984
39248,1/1/1984
39386,1/1/1984
77810,1/1/1984
63774,1/1/1984
42665,1/30/1984
11755,1/30/1984
51158,2/1/1984
80689,2/6/1984
68850,2/8/1984
58309,2/17/1984
48451,2/21/1984
59548,2/27/1984
80611,2/29/1984
63205,3/9/1984
26594,3/28/1984
63213,3/28/1984
32409,3/30/1984
45656,4/11/1984
53364,4/26/1984
50323,4/26/1984
65235,4/27/1984
53971,5/1/1984
56223,5/4/1984
40417,5/18/1984
10306,5/21/1984
44127,5/24/1984
33073,5/30/1984
76508,6/11/1984
63431,6/21/1984
52629,6/29/1984
74377,6/29/1984
11317,7/3/1984
70000,7/18/1984
58931,7/23/1984
10269,7/23/1984
66254,8/13/1984
78159,8/17/1984
53699,8/31/1984
29955,9/19/1984
61196,9/25/1984
37962,9/28/1984
41152,10/1/1984
60732,10/3/1984
63474,10/4/1984
56557,10/5/1984
63917,10/8/1984
50315,10/17/1984
14462,10/19/1984
47634,10/23/1984
64611,10/24/1984
11360,10/26/1984
32978,10/26/1984
58464,10/31/1984
50201,11/5/1984
78250,11/26/1984
48063,12/3/1984
66983,12/4/1984
32206,12/6/1984
60920,12/18/1984
48072,12/20/1984
28652,12/27/1984
82051,12/31/1984
82692,12/31/1984
59002,12/31/1984
69228,12/31/1984
50972,12/31/1984
11245,1/1/1985
32441,1/1/1985
89026,1/1/1985
59564,1/1/1985
92727,1/1/1985
70202,1/1/1985
76444,1/1/1985
81243,1/1/1985
33225,1/1/1985
55141,1/1/1985
68100,1/1/1985
36776,1/1/1985
83708,1/1/1985
84188,1/1/1985
75513,1/1/1985
31705,1/1/1985
37592,1/1/1985
82852,1/1/1985
26113,1/3/1985
16344,1/7/1985
28354,1/24/1985
23676,1/30/1985
52943,2/22/1985
19530,3/1/1985
78124,3/11/1985
17435,3/11/1985
70010,3/12/1985
21881,3/18/1985
47351,3/19/1985
60185,3/26/1985
64573,3/29/1985
41022,4/1/1985
54165,4/12/1985
66720,4/15/1985
50818,4/16/1985
19238,4/16/1985
62333,4/17/1985
47352,4/26/1985
74967,4/26/1985
58544,5/6/1985
34892,5/29/1985
62114,6/26/1985
10365,7/1/1985
43166,7/1/1985
72267,7/1/1985
62579,7/1/1985
68874,7/11/1985
33006,8/1/1985
68180,8/14/1985
82406,8/15/1985
80363,8/16/1985
33179,8/19/1985
73905,8/19/1985
17508,8/20/1985
26375,8/20/1985
41937,8/21/1985
78449,9/3/1985
74502,9/6/1985
83775,9/17/1985
62439,9/23/1985
75548,9/23/1985
63124,9/30/1985
57488,10/21/1985
61210,10/23/1985
77762,10/23/1985
56144,10/29/1985
57307,10/29/1985
20052,11/1/1985
53867,11/1/1985
12590,11/1/1985
54244,11/4/1985
30832,11/6/1985
17356,11/14/1985
43684,11/15/1985
64709,11/19/1985
62447,11/22/1985
29365,12/1/1985
60426,12/1/1985
24804,12/2/1985
42383,12/6/1985
25997,12/16/1985
13435,12/19/1985
80419,12/25/1985
18199,1/1/1986
24978,1/1/1986
13179,1/1/1986
89739,1/1/1986
24695,1/1/1986
59484,1/1/1986
28004,1/1/1986
46010,1/1/1986
50041,1/1/1986
60194,1/1/1986
83521,1/1/1986
61947,1/1/1986
75089,1/1/1986
45314,1/1/1986
73665,1/1/1986
32724,1/1/1986
48849,1/1/1986
91062,1/1/1986
92495,1/1/1986
86722,1/1/1986
23094,1/1/1986
80603,1/1/1986
72654,1/1/1986
51642,1/1/1986
70034,1/1/1986
31465,1/6/1986
53444,1/7/1986
25815,1/10/1986
43043,1/13/1986
45428,1/27/1986
62440,1/31/1986
89974,2/1/1986
74844,2/7/1986
60071,2/12/1986
62551,3/1/1986
56900,3/5/1986
45794,3/7/1986
70122,3/7/1986
62455,3/24/1986
63909,4/17/1986
59037,4/18/1986
83118,4/24/1986
22307,5/2/1986
53560,5/5/1986
25807,5/8/1986
12707,5/9/1986
80718,5/20/1986
10480,6/1/1986
10699,6/3/1986
86800,6/6/1986
82844,6/10/1986
24214,6/16/1986
31342,6/16/1986
72849,6/17/1986
47598,6/18/1986
12432,6/18/1986
89536,6/20/1986
36935,6/23/1986
57728,6/30/1986
31310,7/1/1986
15499,7/17/1986
92161,7/31/1986
86095,8/1/1986
66173,8/5/1986
89165,8/5/1986
87135,8/8/1986
30190,8/11/1986
55670,8/14/1986
13793,8/18/1986
18172,8/19/1986
61719,8/22/1986
76516,8/27/1986
18279,8/27/1986
40387,8/28/1986
64549,9/9/1986
60231,9/10/1986
58895,9/15/1986
26105,9/23/1986
61655,9/25/1986
57015,9/29/1986
31069,10/1/1986
88437,10/1/1986
32994,10/10/1986
93172,10/15/1986
68785,10/15/1986
58165,10/27/1986
66405,10/29/1986
59142,10/30/1986
53137,10/31/1986
20504,11/12/1986
36708,11/18/1986
25770,11/19/1986
17516,11/19/1986
43430,11/20/1986
80390,11/21/1986
47239,11/24/1986
65664,11/24/1986
46121,11/26/1986
58333,12/1/1986
22702,12/12/1986
67109,12/15/1986
85105,12/18/1986
72857,12/22/1986
62084,12/22/1986
26738,12/24/1986
38667,12/31/1986
10373,1/1/1987
89384,1/1/1987
20029,1/1/1987
31174,1/1/1987
85471,1/1/1987
66182,1/1/1987
67329,1/1/1987
44653,1/1/1987
48733,1/1/1987
12897,1/1/1987
36741,1/1/1987
28469,1/1/1987
49112,1/1/1987
31580,1/1/1987
27271,1/1/1987
53452,1/1/1987
45612,2/5/1987
59758,2/11/1987
10012,2/11/1987
86132,2/17/1987
64873,2/17/1987
11827,2/19/1987
64120,2/23/1987
62041,2/24/1987
26068,3/1/1987
10045,3/5/1987
49357,3/5/1987
68881,3/16/1987
32620,3/27/1987
63175,4/6/1987
14736,4/12/1987
17814,4/17/1987
35334,4/20/1987
32548,4/27/1987
10167,4/27/1987
81016,4/28/1987
47590,5/1/1987
77623,5/6/1987
70245,5/26/1987
10824,6/5/1987
58528,6/9/1987
10153,6/29/1987
82676,6/30/1987
92487,7/2/1987
60425,7/2/1987
60513,7/13/1987
10183,7/13/1987
10555,7/14/1987
71053,7/20/1987
89464,8/1/1987
10554,8/6/1987
66421,8/7/1987
14788,8/7/1987
28039,8/12/1987
37399,8/17/1987
86781,9/3/1987
67871,9/9/1987
10013,9/10/1987
75126,9/25/1987
61429,9/28/1987
54536,10/5/1987
63846,10/9/1987
62666,10/15/1987
10996,10/27/1987
66704,11/5/1987
10679,11/13/1987
39846,11/16/1987
65517,12/9/1987
52741,12/14/1987
10403,12/21/1987
91097,12/24/1987
63459,12/30/1987
11224,1/1/1988
92954,1/1/1988
63037,1/1/1988
11024,1/1/1988
11148,1/1/1988
70595,1/1/1988
11127,1/1/1988
10099,1/1/1988
42885,1/1/1988
14366,1/1/1988
71977,1/1/1988
10283,1/1/1988
90182,1/1/1988
86343,1/1/1988
71635,1/1/1988
53824,1/19/1988
51123,1/28/1988
58085,2/2/1988
10846,2/9/1988
33284,2/11/1988
77650,2/18/1988
29102,2/22/1988
11564,2/22/1988
67336,2/25/1988
61292,2/29/1988
27610,2/29/1988
10642,3/7/1988
82070,3/14/1988
68873,3/25/1988
